,agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd,data_type_cd,parm_cd,stat_cd,ts_id,loc_web_ds,medium_grp_cd,parm_grp_cd,srs_id,access_cd,begin_date,Year_start,end_date,Year_end,count_nu,period,county,station_nm,dec_lat_va,dec_long_va
1,USGS,204330010,"NORTH LANDING R AT GIBBS POINT, NC NL2",ST,36.5459866,-76.0304843,S,NAD83,NA,NA,NA,3010205,dv,95,1,83127,Elevation:      10.00,wat,NA,1646694,0,1/19/91,1991,4/6/93,1993,636,808,gates,"NORTH LANDING R AT GIBBS POINT, NC NL2",36.5459866,-76.0304843
2,USGS,204330010,"NORTH LANDING R AT GIBBS POINT, NC NL2",ST,36.5459866,-76.0304843,S,NAD83,NA,NA,NA,3010205,dv,95,1,83133,Elevation:      5.000,wat,NA,1646694,0,1/19/91,1991,4/6/93,1993,636,808,gates,"NORTH LANDING R AT GIBBS POINT, NC NL2",36.5459866,-76.0304843
3,USGS,204330010,"NORTH LANDING R AT GIBBS POINT, NC NL2",ST,36.5459866,-76.0304843,S,NAD83,NA,NA,NA,3010205,dv,95,2,83128,Elevation:      10.00,wat,NA,1646694,0,1/19/91,1991,4/6/93,1993,636,808,gates,"NORTH LANDING R AT GIBBS POINT, NC NL2",36.5459866,-76.0304843
4,USGS,204330010,"NORTH LANDING R AT GIBBS POINT, NC NL2",ST,36.5459866,-76.0304843,S,NAD83,NA,NA,NA,3010205,dv,95,2,83134,Elevation:      5.000,wat,NA,1646694,0,1/19/91,1991,4/6/93,1993,636,808,gates,"NORTH LANDING R AT GIBBS POINT, NC NL2",36.5459866,-76.0304843
5,USGS,204330010,"NORTH LANDING R AT GIBBS POINT, NC NL2",ST,36.5459866,-76.0304843,S,NAD83,NA,NA,NA,3010205,dv,95,3,83129,Elevation:      10.00,wat,NA,1646694,0,1/19/91,1991,4/6/93,1993,636,808,gates,"NORTH LANDING R AT GIBBS POINT, NC NL2",36.5459866,-76.0304843
6,USGS,204330010,"NORTH LANDING R AT GIBBS POINT, NC NL2",ST,36.5459866,-76.0304843,S,NAD83,NA,NA,NA,3010205,dv,95,3,83135,Elevation:      5.000,wat,NA,1646694,0,1/19/91,1991,4/6/93,1993,636,808,gates,"NORTH LANDING R AT GIBBS POINT, NC NL2",36.5459866,-76.0304843
7,USGS,204330010,"NORTH LANDING R AT GIBBS POINT, NC NL2",ST,36.5459866,-76.0304843,S,NAD83,NA,NA,NA,3010205,qw,95,NA,0,NA,wat,PHY,1646694,0,1/18/91,1991,6/28/93,1993,46,892,gates,"NORTH LANDING R AT GIBBS POINT, NC NL2",36.5459866,-76.0304843
8,USGS,204342510,"CURRITUCK SOUND AT BELL ISLAND, NC CU1",ES,36.42876707,-75.9668689,S,NAD83,NA,NA,NA,3010205,dv,95,1,83215,NA,wat,NA,1646694,0,8/8/97,1997,7/12/99,1999,671,703,gates,"CURRITUCK SOUND AT BELL ISLAND, NC CU1",36.42876707,-75.9668689
9,USGS,204342510,"CURRITUCK SOUND AT BELL ISLAND, NC CU1",ES,36.42876707,-75.9668689,S,NAD83,NA,NA,NA,3010205,dv,95,2,83216,NA,wat,NA,1646694,0,8/8/97,1997,7/12/99,1999,671,703,gates,"CURRITUCK SOUND AT BELL ISLAND, NC CU1",36.42876707,-75.9668689
10,USGS,204342510,"CURRITUCK SOUND AT BELL ISLAND, NC CU1",ES,36.42876707,-75.9668689,S,NAD83,NA,NA,NA,3010205,dv,95,3,83217,NA,wat,NA,1646694,0,8/8/97,1997,7/12/99,1999,694,703,gates,"CURRITUCK SOUND AT BELL ISLAND, NC CU1",36.42876707,-75.9668689
